channelId,name,name.en,affiliation,group,subscriptionCount,videoCount
UCjFu-9GHnabzSFRAYm1B9Dw,Etna Crimson 【NIJISANJI ID】,Etna Crimson,Nijisanji,Nijisanji ID,33700,151
UCk5r533QVMgJUdWwqegH2TA,Azura Cecillia 【NIJISANJI ID】,Azura Cecillia,Nijisanji,Nijisanji ID,32900,229
UCkL9OLKjIQbKk2CztbpOCFg,Riksa Dhirendra【NIJISANJI ID】,Riksa Dhirendra,Nijisanji,Nijisanji ID,35700,350
UCMzVa7B8UEdrvUGsPmSgyjA,Derem Kado 【NIJISANJI ID】,Derem Kado,Nijisanji,Nijisanji ID,20500,147
UCOmjciHZ8Au3iKMElKXCF_g,Miyu Ottavia 【NIJISANJI ID】,Miyu Ottavia,Nijisanji,Nijisanji ID,52300,224
UCoWH3sDpeXG1aXmOxveX4KA,Nara Haramaung 【NIJISANJI ID】,Nara Haramaung,Nijisanji,Nijisanji ID,34300,208
UCpJtk0myFr5WnyfsmnInP-w,Hana Macchia Ch.【NIJISANJI ID】,Hana Macchia,Nijisanji,Nijisanji ID,238000,396
UCrR7JxkbeLY82e8gsj_I0pQ,Amicia Michella【NIJISANJI ID】,Amicia Michella,Nijisanji,Nijisanji ID,56900,315
UCyRkQSuhJILuGOuXk10voPg,Layla Alstroemeria [NIJISANJI ID],Layla Alstroemeria,Nijisanji,Nijisanji ID,38600,269
UCZ5dNZsqBjBzbBl0l_IdmXg,Taka Radjiman【NIJISANJI ID】,Taka Radjiman,Nijisanji,Nijisanji ID,74900,453
UCjGE11ZnF0JSR8egVAwh-3A,신유야 / Yuya Shin 【NIJISANJI KR】,Shin Yuya,Nijisanji,Nijisanji KR,100000,230
UCUtKkGKef8BYMs3h-3zQm9A,민수하 / Suha Min 【NIJISANJI KR】,Suha Min,Nijisanji,Nijisanji KR,28500,265
UCJ6LH4jMNy0JN9RSThz1mMQ,한치호 / Chiho Han【NIJISANJI KR】,Chiho Han,Nijisanji,Nijisanji KR,13900,236
UCpRXCTyNNa-MnjhK6gisnRw,가온 / GAON 【NIJISANJI KR】,Gaon,Nijisanji,Nijisanji KR,13900,338
UC5ek2GWKvUKFgnKSHuuCFrw,소나기 / Nagi So 【NIJISANJI KR】,Nagi So,Nijisanji,Nijisanji KR,24000,239
UCmWqYB6y8gSfPONWGspuOWQ,채아라 / Ara Chae 【NIJISANJI KR】,Ara Chae,Nijisanji,Nijisanji KR,15200,143
